5e-07  0.475 0.5
1.53  0.008  6.94e-07
23.6777  23.6787  23.6783  -0.0142583
23.6179  23.6189  23.6186  -0.0143113
23.5584  23.5594  23.559  -0.01443
23.4988  23.4999  23.4995  -0.0144806
23.4395  23.4405  23.4402  -0.0145933
23.3801  23.3812  23.3808  -0.0146417
23.321  23.322  23.3216  -0.0147485
23.2618  23.2629  23.2625  -0.0147947
23.2029  23.2039  23.2035  -0.0148959
23.1439  23.145  23.1446  -0.01494
23.0852  23.0862  23.0858  -0.0150357
23.0265  23.0275  23.0271  -0.0150778
22.9679  22.969  22.9686  -0.0151683
22.9094  22.9105  22.9101  -0.0152084
22.8511  22.8522  22.8518  -0.015294
22.7928  22.7939  22.7935  -0.0153321
22.7347  22.7358  22.7354  -0.0154129
22.6767  22.6777  22.6773  -0.015449
22.6188  22.6199  22.6195  -0.0155253
22.561  22.5621  22.5617  -0.0155595
22.5034  22.5044  22.504  -0.0156314
22.4458  22.4469  22.4465  -0.0156637
22.3884  22.3895  22.3891  -0.0157315
22.3311  22.3321  22.3317  -0.015762
22.2739  22.275  22.2746  -0.0158258
22.2168  22.2179  22.2175  -0.0158544
22.1599  22.161  22.1606  -0.0159144
22.1031  22.1042  22.1038  -0.0159412
22.0464  22.0475  22.0471  -0.0159976
21.9899  21.9909  21.9905  -0.0160227
21.9335  21.9345  21.9341  -0.0160756
21.8771  21.8782  21.8778  -0.016099
21.821  21.8221  21.8216  -0.0161485
21.7649  21.766  21.7656  -0.0161702
21.709  21.7101  21.7097  -0.0162165
21.6532  21.6543  21.6539  -0.0162366
21.5976  21.5987  21.5982  -0.0162798
21.542  21.5431  21.5427  -0.0162984
21.4867  21.4878  21.4873  -0.0163386
21.4314  21.4325  21.432  -0.0163556
21.3763  21.3774  21.3769  -0.016393
21.3213  21.3224  21.3219  -0.0164085
21.2664  21.2675  21.2671  -0.0164432
21.2117  21.2128  21.2123  -0.0164573
21.1571  21.1582  21.1578  -0.0164893
21.1027  21.1037  21.1033  -0.0165019
21.0484  21.0494  21.049  -0.0165315
20.9942  20.9952  20.9948  -0.0165427
20.9401  20.9412  20.9408  -0.0165698
20.8862  20.8873  20.8868  -0.0165797
20.8325  20.8335  20.8331  -0.0166046
20.7788  20.7799  20.7794  -0.0166131
20.7253  20.7264  20.726  -0.0166357
20.6719  20.673  20.6726  -0.016643
20.6187  20.6198  20.6194  -0.0166635
20.5656  20.5667  20.5663  -0.0166696
20.5127  20.5138  20.5133  -0.016688
20.4599  20.461  20.4605  -0.0166929
20.4072  20.4083  20.4079  -0.0167093
20.3547  20.3558  20.3553  -0.016713
20.3023  20.3034  20.3029  -0.0167276
20.25  20.2511  20.2507  -0.0167301
20.1979  20.199  20.1986  -0.0167429
20.1459  20.147  20.1466  -0.0167443
20.0941  20.0952  20.0947  -0.0167554
20.0424  20.0435  20.043  -0.0167557
19.9909  19.9919  19.9915  -0.0167651
19.9394  19.9405  19.94  -0.0167644
19.8882  19.8892  19.8888  -0.0167722
19.837  19.8381  19.8376  -0.0167705
19.786  19.7871  19.7866  -0.0167767
19.7352  19.7362  19.7358  -0.016774
19.6844  19.6855  19.685  -0.0167788
19.6339  19.6349  19.6345  -0.0167751
19.5834  19.5845  19.584  -0.0167785
19.5331  19.5342  19.5337  -0.0167739
19.4829  19.484  19.4835  -0.0167759
19.4329  19.434  19.4335  -0.0167704
19.383  19.3841  19.3836  -0.0167711
19.3333  19.3343  19.3339  -0.0167647
19.2837  19.2847  19.2843  -0.0167642
19.2342  19.2352  19.2348  -0.016757
19.1849  19.1859  19.1855  -0.0167552
19.1357  19.1367  19.1363  -0.0167472
19.0866  19.0877  19.0872  -0.0167443
19.0377  19.0387  19.0383  -0.0167355
18.9889  18.99  18.9895  -0.0167315
18.9403  18.9413  18.9409  -0.0167219
18.8918  18.8928  18.8924  -0.0167168
18.8434  18.8444  18.844  -0.0167065
18.7952  18.7962  18.7958  -0.0167004
18.7471  18.7481  18.7477  -0.0166893
18.6991  18.7002  18.6997  -0.0166822
18.6513  18.6523  18.6519  -0.0166705
18.6036  18.6047  18.6042  -0.0166625
18.5561  18.5571  18.5567  -0.01665
18.5087  18.5097  18.5093  -0.0166411
18.4614  18.4624  18.462  -0.016628
18.4143  18.4153  18.4149  -0.0166183
18.3673  18.3683  18.3679  -0.0166045
18.3204  18.3214  18.321  -0.0165939
18.2737  18.2747  18.2743  -0.0165796
18.2271  18.2281  18.2277  -0.0165682
18.1807  18.1816  18.1812  -0.0165533
18.1343  18.1353  18.1349  -0.0165411
18.0881  18.0891  18.0887  -0.0165256
18.0421  18.0431  18.0426  -0.0165127
17.9962  17.9971  17.9967  -0.0164967
17.9504  17.9514  17.9509  -0.0164831
17.9047  17.9057  17.9053  -0.0164665
17.8592  17.8602  17.8598  -0.0164523
17.8138  17.8148  17.8144  -0.0164352
17.7686  17.7695  17.7691  -0.0164203
17.7234  17.7244  17.724  -0.0164027
17.6785  17.6794  17.679  -0.0163872
17.6336  17.6346  17.6341  -0.0163691
17.5889  17.5898  17.5894  -0.016353
17.5443  17.5452  17.5448  -0.0163345
17.4998  17.5008  17.5003  -0.0163178
17.4555  17.4564  17.456  -0.0162989
17.4113  17.4122  17.4118  -0.0162816
17.3672  17.3681  17.3677  -0.0162623
17.3233  17.3242  17.3238  -0.0162445
17.2794  17.2804  17.28  -0.0162247
17.2358  17.2367  17.2363  -0.0162065
17.1922  17.1931  17.1927  -0.0161863
17.1488  17.1497  17.1493  -0.0161676
17.1055  17.1064  17.106  -0.016147
17.0623  17.0632  17.0628  -0.0161278
17.0193  17.0202  17.0198  -0.016107
16.9763  16.9773  16.9768  -0.0160873
16.9336  16.9345  16.9341  -0.0160661
16.8909  16.8918  16.8914  -0.016046
16.8484  16.8493  16.8489  -0.0160244
16.8059  16.8068  16.8064  -0.016004
16.7637  16.7646  16.7642  -0.0159821
16.7215  16.7224  16.722  -0.0159612
16.6795  16.6804  16.68  -0.0159391
16.6376  16.6384  16.638  -0.0159178
16.5958  16.5967  16.5963  -0.0158954
16.5541  16.555  16.5546  -0.0158738
16.5126  16.5135  16.513  -0.015851
16.4712  16.472  16.4716  -0.0158291
